Name: VTA [GABA0], Title: Raster plot from device '593', Hist: False
412.6 :    2 : [266, 268]
412.8 :    1 : [267]
414.7 :    1 : [268]
414.9 :    1 : [266]
415.0 :    1 : [267]
416.8 :    1 : [268]
417.2 :    1 : [266]
417.4 :    1 : [267]
418.9 :    1 : [268]
419.7 :    1 : [266]
420.1 :    1 : [267]
421.0 :    1 : [268]
422.8 :    1 : [266]
423.2 :    1 : [268]
423.7 :    1 : [267]
425.9 :    1 : [268]
429.2 :    1 : [268]
